id;width;height;screen_buffer;screen_buffer_content_type
1;54899;15799;../fake-data/blob/hipster.png;image/png
2;7022;65662;../fake-data/blob/hipster.png;image/png
3;56001;65628;../fake-data/blob/hipster.png;image/png
4;72201;7632;../fake-data/blob/hipster.png;image/png
5;1144;40072;../fake-data/blob/hipster.png;image/png
6;60571;35406;../fake-data/blob/hipster.png;image/png
7;21702;93534;../fake-data/blob/hipster.png;image/png
8;17852;16522;../fake-data/blob/hipster.png;image/png
9;46912;37075;../fake-data/blob/hipster.png;image/png
10;2292;22937;../fake-data/blob/hipster.png;image/png
